"","Keywords","Female.North","Female.Middle","Female.South","Female.East","Male.East","Male.North","Male.Middle","Male.South"
"1843","廟",0.000459020226875164,0.00138805018054565,0.000649292820444305,0.00134816068437295,0.00320715258427237,0.00021180380912422,0.000459455094328611,0.000871915389164427
"1844","廟口",0.00104500069739333,0.000359093258403508,0.000671896961130595,0,0,0.000876709744666922,0.000475450323698513,0.000902269795531847
"1845","民權",0.000298513793420503,0.000188060033720014,0,0,0,0,0.000497994333307485,0.000472525964220695
"1846","民權路",9.70255736328842e-05,0.000183374769118967,0.000857778218023589,0,0,0.00044770110062048,0,0.000460753610842652
"1847","民生",0.00152000101439029,0.000718186516807016,0.000503922720847947,0,0,0.000657532308500192,0.000950900647397025,0.000451134897765924
"1848","民生路",0.000410802463324779,0,0.000363179924381298,0,0,0,0,0.00146310950221322
"1849","民宿",0.00133510800580553,0.000776401561414246,0.000907949810953246,0,0,0,0,0
"1850","民族",0.000194051147265768,0.0011002486147138,0.00137244514883774,0,0,0.00044770110062048,0,0.00138226083252795
"1851","名產",0.000291076720898652,0.0005501243073569,0.000343111287209436,0,0,0.00044770110062048,0.000485587469524607,0
"1852","名店",0.000653012632289197,0.00105785989811791,0.00065978482767714,0,0.00325897738049908,0.000860905497823057,0.00186751795610215,0.00177200956694775
"1853","名古屋",0.000194051147265768,0.000366749538237933,0.000171555643604718,0,0,0.00044770110062048,0,0.000921507221685303
"1854","名片",0.000398018391227337,0.000564180101160041,0.000175938927019077,0,0,0,0,0.000945051928441391
"1855","名氣",0.000582153441797305,0.000366749538237933,0.000343111287209436,0,0,0.0011192527515512,0,0.000460753610842652
"1856","名人",0.000199009195613668,0.000188060033720014,0.000175938927019077,0,0,0.000688709939352826,0,0
"1857","名子",9.70255736328842e-05,0.000366749538237933,0,0,0.00338956543740546,0.00044770110062048,0.00145676240857382,0
"1858","明白",0.000194051147265768,0.000366749538237933,0.000343111287209436,0,0,0.00022385055031024,0.000485587469524607,0
"1859","明蝦",9.95045978068342e-05,0,0.000351877854038153,0,0,0.00137741987870565,0,0.000472525964220695
"1860","明星",0.000643230901431814,0,0,0,0,0.000247336150444331,0,0
"1861","茗茶",0.000582153441797305,0.000366749538237933,0.000171555643604718,0.00142483986643753,0,0,0.000485587469524607,0
"1862","銘傳",0.000308101847493584,0.000388200780707123,0,0,0,0.000236943606826786,0,0
"1863","命名",0.000199009195613668,0,0.00052781678105723,0,0,0.00114784989892138,0,0.00189010385688278
"1864","命運",0.000194051147265768,0.000366749538237933,0.000171555643604718,0,0,0,0.000971174939049215,0.000460753610842652
"1865","模",0.00213456261992345,0.00146699815295173,0.00137244514883774,0,0,0.0011192527515512,0.000485587469524607,0
"1866","模具",0.00275500183858241,0.00251365280882456,0.00184771664310914,0,0,0.00197259692550058,0.00237725161849256,0.000902269795531847
"1867","模式",0.000653012632289197,0.000705239932078606,0.000989677241515709,0,0.00325897738049908,0.00172181099564611,0.000466879489025537,0.00221501195868469
"1868","模型",0.00180500120458847,0.00323183932563157,0.00117581968197854,0.00139509484538283,0,0,0.00190180129479405,0.000451134897765924
"1869","模樣",0.000194051147265768,0.000366749538237933,0.000171555643604718,0,0,0,0.000971174939049215,0.000921507221685303
"1870","模子",0.000513503079155974,0,0,0.00150817899101167,0,0.000236943606826786,0,0
"1871","膜",0.000582153441797305,0.000733499076475867,0.000686222574418872,0,0,0.00044770110062048,0,0.00138226083252795
"1872","摩卡",0.00055972511339074,0.000176309983019651,0.00032989241383857,0.00136994578842166,0.00325897738049908,0.000215226374455764,0.000466879489025537,0
"1873","摩托車",0.000205401231662389,0.000388200780707123,0,0,0,0,0,0.000975406334808811
"1874","磨坊",0.000194051147265768,0.000183374769118967,0.000343111287209436,0,0,0,0.000485587469524607,0.000460753610842652
"1875","蘑菇",0.00261205052915679,0.00123416988113756,0.00164946206919285,0.00136994578842166,0,0.00495020661248258,0.0037350359122043,0.00265801435042162
"1876","魔",0.000199009195613668,0.000376120067440027,0.00123157248913354,0,0,0,0.000497994333307485,0
"1877","魔法",0.000388102294531537,0.000366749538237933,0.000343111287209436,0,0,0.00089540220124096,0,0.000460753610842652
"1878","魔鬼",0.000298513793420503,0,0.000351877854038153,0,0,0.000459139959568551,0,0.00141757789266209
"1879","魔力",0.00171000114118908,0.000538639887605262,0.00100784544169589,0.00139509484538283,0,0.000219177436166731,0,0.000902269795531847
"1880","陌生",0.00156066877137556,0.00138805018054565,0.00211020166644399,0.00674080342186473,0.00320715258427237,0.00338886094598752,0.00229727547164306,0.00130787308374664
"1881","墨爾本",0.000513503079155974,0,0,0,0,0.000236943606826786,0,0.000487703167404405
"1882","墨西哥",0.00133000088759151,0.00107727977521052,0.00235163936395708,0,0.00995641415123079,0.000657532308500192,0,0.000451134897765924
"1883","墨魚",0.000199009195613668,0,0.000175938927019077,0,0,0.000459139959568551,0.000497994333307485,0
"1884","母",0.00028500019019818,0.000179546629201754,0.000335948480565298,0,0.00331880471707693,0.000438354872333461,0,0.00225567448882962
"1885","母親",0.00266000177518301,0.00125682640441228,0.00285556208480503,0,0,0.00241095179783404,0.00332815226588959,0.000451134897765924
"1886","母鴨",0.000194051147265768,0.000916873845594834,0.000857778218023589,0,0,0.00044770110062048,0.000485587469524607,0
"1887","牡蠣",0.00028500019019818,0.000718186516807016,0.00100784544169589,0,0.00331880471707693,0.000219177436166731,0,0.000451134897765924
"1888","木",0.000388102294531537,0.0005501243073569,0.000171555643604718,0,0,0.0011192527515512,0,0.000921507221685303
"1889","木耳",0.000918040453750328,0.000694025090272826,0.00146090884599969,0.00269632136874589,0.00320715258427237,0.00127082285474532,0.00137836528298583,0.000435957694582214
"1890","木瓜",0.00180500120458847,0.0019750129212193,0.00100784544169589,0,0,0.00175341948933384,0.000950900647397025,0.00225567448882962
"1891","木柵",9.95045978068342e-05,0.000376120067440027,0.000351877854038153,0,0,0.000688709939352826,0,0
"1892","木薯",0.00028500019019818,0.000718186516807016,0.000503922720847947,0.00139509484538283,0,0.000438354872333461,0.000475450323698513,0
"1893","木炭",9.95045978068342e-05,0.000188060033720014,0.000703755708076306,0,0,0.000229569979784275,0,0
"1894","木桶",0.000102700615831195,0,0.000181589962190649,0,0,0,0.00205595825070955,0
"1895","木頭",0.000616203694987168,0.000970501951767807,0,0,0,0,0,0.000487703167404405
"1896","木下",0.00126133245722749,0.0005501243073569,0.00171555643604718,0,0,0.00044770110062048,0.000485587469524607,0
"1897","木製",0.000199009195613668,0,0,0.00146124483000179,0,0.000459139959568551,0.00149398299992245,0
"1898","木質",0.000291076720898652,0.000366749538237933,0.000343111287209436,0,0,0.00022385055031024,0.000485587469524607,0
"1899","木子",0.000308101847493584,0,0.000363179924381298,0,0,0.000236943606826786,0,0
"1900","目標",0.000932875188984567,0.00158678984717686,0.000989677241515709,0.00410983736526499,0,0.000860905497823057,0.000933758978051074,0.00132900717521081
"1901","目光",0.00057000038039636,0.000897733146008771,0.000335948480565298,0,0,0.000219177436166731,0.000475450323698513,0.000451134897765924
"1902","牧場",0.000388102294531537,0.000733499076475867,0.000514666930814154,0,0,0.00067155165093072,0.000485587469524607,0
"1903","慕尼黑",0.000321615450715907,0,0,0,0.0112355596062433,0,0,0
"1904","拿手菜",0.000291076720898652,0.000366749538237933,0.000343111287209436,0,0,0.00044770110062048,0,0.000460753610842652
"1905","那陣子",0.000308101847493584,0.000388200780707123,0.000181589962190649,0,0,0,0,0
"1906","奶茶",0.0199214778463821,0.0170036147116842,0.0209396934593288,0.0161779282124754,0.0288643732584513,0.0160970894934407,0.0128647426412011,0.0126427731428842
"1907","奶粉",0.00195903789686759,0.00299726971133407,0.00346387034530498,0.00273989157684333,0,0.00215226374455764,0.00233439744512768,0.000443002391736937
"1908","奶精",0.00139931278347685,0.00123416988113756,0.000824731034596424,0.00136994578842166,0,0.000430452748911528,0.000466879489025537,0.00132900717521081
"1909","奶酒",0.00121273774567994,0.00105785989811791,0.00065978482767714,0.00136994578842166,0,0.000860905497823057,0.000933758978051074,0.00177200956694775
"1910","奶酪",0.00514102654100184,0.00589921326731902,0.00243484807666614,0.0134816068437295,0.00962145775281711,0.00360066475511174,0.00505400603761472,0.00523149233498656
"1911","奶類",0.000194051147265768,0.000366749538237933,0.000514666930814154,0,0,0,0.00145676240857382,0.000460753610842652
"1912","奶奶",0.0014250009509909,0.00251365280882456,0.00436733024734887,0,0,0.00131506461700038,0.00285270194219108,0.000902269795531847
